polarity,review
0.0,"Let me start off by saying. Nexplanon ruined my life. Before I got the implant in my arm I was active, happy, confident, energetic, SKINNY. I used to go to the gym 5 days a week and was very active. I have had this thing in my arm for about a year now and I have gained 30+ pounds. I hold myself to a very high standard when it comes to my appearance and my health. When I look in the mirror I don't recognize myself- and the worst part is, I cannot do anything about it because Nexplanon has drained me of any motivation I have to get out of bed.. let alone workout or be active. I cannot even convince myself to go for a walk. I haven't been to the gym in months and it used to be favorite place Monday-Friday. Not only has it compromised my health and my appearance, it has totally destroyed my mental health. Because of Nexplanon I have had EXTREME anxiety, to the point of pushing my loved ones away. It ruined my life. Getting it removed in 2 weeks and I couldn't be happier."
0.0,"This is my second time trying Nexplanon and I regret it once again. It affects my daily mood and have me thinking I am insane. I literally catch myself crying every day. Most days I feel very depressed, and don’t want to get out the bed.  It even affects the way I feel as though I treat my 2 year old daughter. I am grateful for my daughter, but sometimes I have no energy to be a mother. Let’s not talk about the bleeding. I think the reason I be so miserable is because I’m always BLEEDING. I try not to get excited when I’m not on my period, bc I know it will come back on within a day. Please avoid this birth control !!"
0.0,"This is the worst birth control I have ever had!! I do not recommend it to anybody. The first couple of months was fine and I didn’t have a period at all. But after that, I bled every single day. Sometimes I would stop bleed for like a week and then the bleeding would start back up again. So I went to a different OBGYN and he had said he also does not recommend anyone having this birth control. -1000/10 would not recommend it"
0.0,"I had my expired nexplanon in my arm for more than 2 years ago and ever since I have not  not got pregnant. Now I always have period, low sex drive, pain in my chest back and always having serious headache all the time.  I also have breast discharge, dizziness, weight gain, bloating and also smelly urine. I hope this effect will not affect me in the future.  The fact that this nexplanon had be out to me it is not advisable"
0.0,"I had the implant inserted on a Wednesday afternoon to help me stop ovulating due to severe pain. My arm was sore and numb for the first day, the second day still sore and painful but burning started in the implant area. The 3rd day my arm became more painful than the day it was inserted, it was burning all up and down my arm, I was unable to touch under my arms it would burn terrible. The 4th day I called the OB and was told to see someone in office the following day, around 3pm I was delusional, vomiting, my BP was through the roof, I couldn’t open my eyes . . My husband took me to the ER. I had it removed and was given nausea meds and Benadryl to calm me down since my heart rate was so high. I am 3 days post removal and I feel like I have the Flu. I would never recommend this to anyone, do research!"
0.0,"This is like a psychiatric drug that will ruin your whole day or until you have this implant on. I can’t explain the trauma that I suffered with this thing on. I had it for less than 2 months. First month I had no symptoms and no period. I started to bleed on the 2nd month and that’s when I started to have panic attacks, anxiety. I ended up in the ER twice thinking I am having a heart attack. I felt my chest burning, I felt my heart rate increasing and beating so fast that I could hear it. I felt like I had some disease that I will die soon. I was constantly living under fear. I didn’t even want to do anything. I felt like something is happening to my body. I couldn’t even look after my kids or smile or talk to anyone. This is a nightmare. Please don’t get it. There are plenty of other options. I gotten it removed today and I started to feel myself again, I am still getting scared but it’s lessening now."
1.0,"I love this BC. I’ve been on it nearly a year, no issues, no periods, no weight gain. My prior BC had my blood pressure at a dangerous level. It has since levelled out. I often forget it is in there. No complaints."
0.0,"Nexplanon was the only birth control that fit my needs and lifestyle so I ignored the terrible side effects for a long time but they're awful. 
The good: I only get my period about once every 3 months and it's been extremely effective at preventing pregnancy. Ease of use is great--they implant it and I don't have to think about it again for a few years. 
But the cons: for context, I used to have a very manageable period. 4 days on average with little to no cramping and zero PMS symptoms. Now, about once every 3 months, my depression (which might be related to the implant) reaches an extreme where I have no will to continue on. Then like clockwork, my period arrives. It lasts 2 weeks minimum and while it is fairly light most days, I have cramping every single day. After my period finally ends, which is very unpredictable, my emotions become more manageable, though I'm still fairly depressed and anxious, which was never as big an issue before. I've also gained a lot of weight."
1.0,"I’ve been on this method of contraception since I was 14 & I’m 28 this year. This implant works so well for me. I rarely ever get a period, I don’t get spots, I’ve always stayed the same weight, I’m quite a happy person. The only downside is removal as I hate needles but it’s never that bad once it’s over with. Will probably continue to use this until the menopause :)"
0.0,"Nexplanon caused me to have crawling sensations on my scalp and all over my body. I had anxiety and get really nervous staying at home by myself. Talk about irritability, goosebumps, chills and waking up in the middle of the night constantly. My hair fell off at the top. I thought I was going crazy, and I never thought it could be the implant.

I had the implant in for over a year and I experienced the weird sensations for close to a year. I did everything I could, from acupuncture, to vitamins, to starting HRT. On an inkling, I asked my doctor to remove it and everything stopped.
This is horrible and no one should ever have to go through this."
0.0,"I had the Nexplanon implant in 2017 as I'd just got into a serious relationship and wanted something hassle free, within a matter of weeks I was having intense pain every time I had sex and spotting that wouldn't stop (which I anticipated as my body adjusted). After 3 months I woke up in a dream like state feeling entirely disconnected from the world around me and emotionally numb, I went to see a (male) doctor about my experience and assured me it couldn't be down to the nexplanon, weeks went by and I was experiencing panic attacks, intrusive thoughts and debilitating anxiety so I booked an appointment to have it removed, I explained my symptoms in such a state to the female nurse and she said 'the more I hear about this thing the more I don't like it, I no longer recommend it.' 

All this being said, I know women who've had the implant and loved it, unfortunately I hear too many stories similar to mine and I wouldn't wish this experience on anyone. Do your research, listen to your body."
0.0,"I am desperate to get this implant out.
It has given me anxiety, loss of sex drive, mood changes, dizziness. I have also got acne from it and gained 3 stone on weight. My doctor persuaded me to keep it in last time I tried having it taken out.
So have had it in 2.5 years. I have an appointment for it to be taken out tomorrow. Never again!"
0.0,"The first time I got the Nexplanon implant I had severe mood swings and dangerous bouts of depression every day for 3 months. I was angry, every little thing set me off and I would emotionally breakdown and cry constantly for no discernible reason. It calmed down after a few months of absolute mental torture, but now I've had my implant replaced with a fresh Nexplanon the symptoms have come back with force. I wouldn't recommend this to anyone, especially those with depression/suicidal tendencies already. It just amplifies all of your negative and dangerous feelings. A terrible and mentally damaging product. 0/10z"
0.0,"I definitely agree with everyone here saying that Nexplanon has altered their moods and has affected them mentally as well. I have been on it for a year or so and holy moly has this been an emotional roller coaster for me. I already struggle with depression but has definitely increased with this and also has lead to more suicidal thoughts. I don’t feel like myself, mind is always foggy, and I constantly feel numb, wanting to push everyone away. This all couldn’t even be related to the implant but it has for sure gotten worse ever since I got it inserted. Did I also mention the weight gain that comes with it? I know it is different for everyone and studies can’t back up this evidence but I seriously believe it has something to do with the implant. I had lost weight easily before but now I find myself constantly craving more food and is harder for me to lose. This hasn’t been a good experience for me so far. I can’t wait to make an appointment to take it out ASAP."
0.0,"I had Nexplanon for for 6 months because a friend recommended it. I got it taken out four days ago. I struggle a little with anxiety and depression but they skyrocketed on Nexplanon. I had several bouts of crying that were so severe, I collapsed on my kitchen floor. One night, I was crying so hard for so many hours I thought that I would have to go to the hospital for psychiatric help. 
I struggled terribly with intrusive, obsessive thoughts. I was paranoid that my boyfriend was cheating on me or talking to other women and I couldn't get the thoughts out of my mind. (He's not doing any of those things and he's a good man whom I trust completely.) I just became obsessed and paranoid about various 'stories' that my mind was telling me. I was irritable and anxious and miserable. 
My sex drive was okay, certainly less than normal, but the vaginal dryness was surprising too. 
I can't wait until more forms of male birth control are approved because these methods for women are not helpful."
0.0,"I got nexplannon in 2020 at some point. I have always had anxiety but never this bad. it gets to the point where I feel like I'm going to pass out or as if nothing is real. My hair will not grow. I am soo moody and I start fights 24/7 with my fiancé. at first everything was fine but after a couple years I am ready to rip this out of my arm. I have an appointment in a couple days to get it out. Getting this was the worst decision ever and I don't recommend this to anyone. I have 
mood swings. 
fast heart beats 
feeling like nothing is real 
headaches 
tired 
tummy aces 
it is terrible. DO NOT GET ON THIS."
1.0,"Nexplanon was the first birth control I was on and overall it was a decent experience. I could've been a lot worse but could've been a little better. First of all, it did it's job-- I never got pregnant! As far as side effects.  I probably gained about 6 or 7 pounds but I expected that since I got it when I was 18 and my body was just changing. It made me feel bloated here and there but that's to be expected too. I'm also on anxiety medicine and I don't think it ever interfered with that at all. Sure I'd have days where my anxiety was worse than others but I don't think it was directly caused by Nexplanon. I also had some issues with acne here and there but nothing that I couldn't manage (again, I'm not sure if it's because of the Nexplanon). Now I will say... going off Nexplanon was a bit of a pain. It made me feel off for about a month, but I expected that as well. It's like going off of any kind of medicine...your body's gonna feel wonky for a while. Overall, not a bad experience."
0.0,"I had the nexplanon put in years ago and the whole 9 months I had it I had no period (yay). But I felt crazy, I couldn't control my moods and it was affecting my relationships, honestly I felt relieved just days after having it removed. Fast forward 4/5 years and I decided to try it again after having 2 kids in 2 years. I had it inserted Nov 2021, I had the most painful period I'd had in years 2 weeks after insertion as well as panic attacks (I haven't had panic attacks in at least 5 years!). Since about January (2 months after insertion) I just don't feel like myself anymore. My relationship is suffering even more so because i have completely lost my sex drive, I don't have as much patience as I normally do, I honestly feel like I'm going crazy, I haven't had it removed yet as I was waiting to see if maybe it was something else (health anxiety around covid etc maybe?). I've been trying to rule out other possible causes but after reading this forum I can say I believe it is the nexplanon."
0.0,"I just turned 15 when I got the nexplanon. I never wanted the implant but it was literally the only option my mom gave me, so I got it. I was on my period when I got it placed and my period didn’t go away. After I bled for 3 months I went back to the doctor and she gave me bc pills to take alongside the nexplanon. It stopped the bleeding but my doc wouldn’t let me stay on the pills. I started bleeding again and it didn’t stop. I started to notice I was having low blood sugars and feeling sick after I ate. I got the nexplanon taken out after being on it for 7 months and a month later I was diagnosed with type one diabetes (autoimmune disease). What’s crazy is the nexplanon can cause higher blood sugars and I told my doctor my family had a history of diabetes and other autoimmune diseases but she still put me on it without trying to show there was other options and/or non hormonal birth control options. The implant is very hit or miss. But personally I didn't like it."
1.0,"I’m not sure how to feel about it. It’s just my second month with it so I will maybe try it one more month.  Insertion was not bad! The numbing shot was painful- but after that it was easy. I bruise easily so had a bruise around it but after 2-3 weeks it was gone. Arm hurt for a couple days but was fine after that. 
I get nauseous every once in a while but not badly and maybe just once a week. I’ve been spotting on and off for almost two months now. Which is super annoying. If this doesn’t go away next month then I’ll just get it removed. 
The thing that bothers me right now is the anxiety!!! My mind is in hyperdrive. I’m super sensitive and irrational. I haven’t been able to sleep well. 
I’m having a follow up next month and if this doesn’t get better I’m taking it out. 
The nurse was really nice when I asked questions at insertion. She told me everyone reacts differently so to be aware of how it makes me feel and we can check back at the follow up."
0.0,Okay so I got nexplanon in back in November of 2021. Was tired of the pills I couldn’t remember to take them. December was fine I didn’t get my period was happy. (I only got my period once light spotting for 3 days) January was when symptoms started. I would have nausea after eating. I would have extreme anxiety over studying (which is normal usual but not extreme) this was heightened anxiety. February came and BAM! My symptoms got worse anxiety attacks about my health and a fixation on getting chronically ill. The paranoia around my health was absurd. Finally pieced it together when I went to a doctor who recognized my symptoms. Validated my feelings and reassured me. She fast tracked me to get this birth control out of me! I’m getting it out in 7 days and I’m literally counting the days. I only lasted 4 months. So please don’t get this birth control the mental health issues are not worth it.
0.0,"Let me start off by saying. Nexplanon ruined my life. Before I got the implant in my arm I was active, happy, confident, energetic, SKINNY. I used to go to the gym 5 days a week and was very active. I have had this thing in my arm for about a year now and I have gained 30+ pounds. I hold myself to a very high standard when it comes to my appearance and my health. When I look in the mirror I don't recognize myself- and the worst part is, I cannot do anything about it because Nexplanon has drained me of any motivation I have to get out of bed.. let alone workout or be active. I cannot even convince myself to go for a walk. I haven't been to the gym in months and it used to be favorite place Monday-Friday. Not only has it compromised my health and my appearance, it has totally destroyed my mental health. Because of Nexplanon I have had EXTREME anxiety, to the point of pushing my loved ones away. It ruined my life. Getting it removed in 2 weeks and I couldn't be happier."
0.0,"This is my second time trying Nexplanon and I regret it once again. It affects my daily mood and have me thinking I am insane. I literally catch myself crying every day. Most days I feel very depressed, and don’t want to get out the bed.  It even affects the way I feel as though I treat my 2 year old daughter. I am grateful for my daughter, but sometimes I have no energy to be a mother. Let’s not talk about the bleeding. I think the reason I be so miserable is because I’m always BLEEDING. I try not to get excited when I’m not on my period, bc I know it will come back on within a day. Please avoid this birth control !!"
0.0,"This is the worst birth control I have ever had!! I do not recommend it to anybody. The first couple of months was fine and I didn’t have a period at all. But after that, I bled every single day. Sometimes I would stop bleed for like a week and then the bleeding would start back up again. So I went to a different OBGYN and he had said he also does not recommend anyone having this birth control. -1000/10 would not recommend it"
0.0,"I had my expired nexplanon in my arm for more than 2 years ago and ever since I have not  not got pregnant. Now I always have period, low sex drive, pain in my chest back and always having serious headache all the time.  I also have breast discharge, dizziness, weight gain, bloating and also smelly urine. I hope this effect will not affect me in the future.  The fact that this nexplanon had be out to me it is not advisable"
0.0,"I had the implant inserted on a Wednesday afternoon to help me stop ovulating due to severe pain. My arm was sore and numb for the first day, the second day still sore and painful but burning started in the implant area. The 3rd day my arm became more painful than the day it was inserted, it was burning all up and down my arm, I was unable to touch under my arms it would burn terrible. The 4th day I called the OB and was told to see someone in office the following day, around 3pm I was delusional, vomiting, my BP was through the roof, I couldn’t open my eyes . . My husband took me to the ER. I had it removed and was given nausea meds and Benadryl to calm me down since my heart rate was so high. I am 3 days post removal and I feel like I have the Flu. I would never recommend this to anyone, do research!"
0.0,"This is like a psychiatric drug that will ruin your whole day or until you have this implant on. I can’t explain the trauma that I suffered with this thing on. I had it for less than 2 months. First month I had no symptoms and no period. I started to bleed on the 2nd month and that’s when I started to have panic attacks, anxiety. I ended up in the ER twice thinking I am having a heart attack. I felt my chest burning, I felt my heart rate increasing and beating so fast that I could hear it. I felt like I had some disease that I will die soon. I was constantly living under fear. I didn’t even want to do anything. I felt like something is happening to my body. I couldn’t even look after my kids or smile or talk to anyone. This is a nightmare. Please don’t get it. There are plenty of other options. I gotten it removed today and I started to feel myself again, I am still getting scared but it’s lessening now."
1.0,"I love this BC. I’ve been on it nearly a year, no issues, no periods, no weight gain. My prior BC had my blood pressure at a dangerous level. It has since levelled out. I often forget it is in there. No complaints."
0.0,"Nexplanon was the only birth control that fit my needs and lifestyle so I ignored the terrible side effects for a long time but they're awful. 
The good: I only get my period about once every 3 months and it's been extremely effective at preventing pregnancy. Ease of use is great--they implant it and I don't have to think about it again for a few years. 
But the cons: for context, I used to have a very manageable period. 4 days on average with little to no cramping and zero PMS symptoms. Now, about once every 3 months, my depression (which might be related to the implant) reaches an extreme where I have no will to continue on. Then like clockwork, my period arrives. It lasts 2 weeks minimum and while it is fairly light most days, I have cramping every single day. After my period finally ends, which is very unpredictable, my emotions become more manageable, though I'm still fairly depressed and anxious, which was never as big an issue before. I've also gained a lot of weight."
1.0,"I’ve been on this method of contraception since I was 14 & I’m 28 this year. This implant works so well for me. I rarely ever get a period, I don’t get spots, I’ve always stayed the same weight, I’m quite a happy person. The only downside is removal as I hate needles but it’s never that bad once it’s over with. Will probably continue to use this until the menopause :)"
0.0,"Nexplanon caused me to have crawling sensations on my scalp and all over my body. I had anxiety and get really nervous staying at home by myself. Talk about irritability, goosebumps, chills and waking up in the middle of the night constantly. My hair fell off at the top. I thought I was going crazy, and I never thought it could be the implant.

I had the implant in for over a year and I experienced the weird sensations for close to a year. I did everything I could, from acupuncture, to vitamins, to starting HRT. On an inkling, I asked my doctor to remove it and everything stopped.
This is horrible and no one should ever have to go through this."
0.0,"I had the Nexplanon implant in 2017 as I'd just got into a serious relationship and wanted something hassle free, within a matter of weeks I was having intense pain every time I had sex and spotting that wouldn't stop (which I anticipated as my body adjusted). After 3 months I woke up in a dream like state feeling entirely disconnected from the world around me and emotionally numb, I went to see a (male) doctor about my experience and assured me it couldn't be down to the nexplanon, weeks went by and I was experiencing panic attacks, intrusive thoughts and debilitating anxiety so I booked an appointment to have it removed, I explained my symptoms in such a state to the female nurse and she said 'the more I hear about this thing the more I don't like it, I no longer recommend it.' 

All this being said, I know women who've had the implant and loved it, unfortunately I hear too many stories similar to mine and I wouldn't wish this experience on anyone. Do your research, listen to your body."
0.0,"I got the implant around April 2021. To be honest- in the beginning of taking Nexplanon I felt fine. It actually got rid of my period for a few months, maybe 4. But after those 4 months I began having periods again, except they were two a month - very painful and heavier than my usual periods which were already heavy too. After a few months of this, my periods became really irregular. As of I’d say Dec/Jan 2022 I have had horrible mood swings, body aches, headaches when I wake up. My mood swings have been really getting to me. I will randomly snap at my boyfriend who I love for seemingly nothing, and then cry because of guilt moments later. I hate what I believe the implant has began to make me feel like. I don’t feel good most days, and I cry often- my confidence has plummeted and I do not feel the same person as I did before the implant or even a few months ago. 

If the implant simply only messed with my period, I would cope, but I am calling my doctor tomorrow."
0.0,"Exacerbated my mental health issues severely with paranoia, anxiety, depression. Heavy bleeding the majority of the time I had it in and became severely anaemic and lost weight. 
I would never recommend this to someone with even the mildest of mental illness."
0.0,"Don't. Even. Bother. Out of all the birth control methods you could use this one is crap. At first it works fine but gradually your body becomes used to the hormones causing you to have month long periods at times. At that point it's like what's the purpose? To keep you from having sex at all? Yeah great method to keep you from having kids (sarcastic). I am so ready to get this thing out, NOT WORTH IT!"
0.0,"When I got this I was all good for a little while I believe I had this for almost a year but since I think for like four months now I've been showing some stuff. Before these four months I get some periods here and there, I had irregular periods and they told me I would bleed more when starting or it could be irregular. But now I've been bleeding or having brown discharge constantly and if it is discharge it's like bleeding cause I've been always needing to wear pads. And I've had some thoughts before but vary rarely but now I get thoughts more which make me panic. Also sometimes I feel numb like no feelings and it upsets me cause I want to feel and that makes me think if I don't  like my boyfriend which I know I do but it always comes up and bothers me. I saw one of the reviews and she had the same exact thing about thoughts and her relationship."
0.0,"I've been on nexplanon for a total of 6 years now (replaced at three year mark) I'm coming up on my due date to have it replaced again in March. I've been noticing a huge elevation in my depression and anxiety. Also started losing weight with no explanation. I've tried everything to try and gain weight, I'll gain 2-3 pounds and immediately lose it in less then 2 days. That started when I got it replaced in 2019. Also noticed an extreme irritability and anger towards such simple things along with my extreme lack of sex drive and emotional connection to those I love and care for. Just very confused and waiting to get this thing removed from my body. Has anyone else had these experiences?"
0.0,"Nexplanon during a pandemic was excessive. I gained 20 lbs without changing anything in my diet or exercise over the 3 year period and the removal process was brutal. The person who implanted the device put it too deep leading to the removal person having to dig it out of tissue. All in all, not worth it. Less painful than an IUD but overall not worth it."
0.0,"Don't do it, I used to eat like a cow and now I can't eat anything and I cant keep anything down. I'm dizzy, tired, sad, or having a panic attack every five minutes and I've only had it for 3 weeks!!!!!! I just wouldn't get it"
0.0,"I had a horrible experience even from the insertion when the nurse punctured me but the implant remained in the device, leading to a second puncture which left a bigger scar. After 6 months of weight gain, fatigue, & bleeding, I asked my doctor to take it out, but she convinced me it just “needed time to adjust.” I let it poison my body for another 6 months. Gained a total of 40 lbs, never stopped bleeding, and developed fatty liver and osteoarthritis even with exercise.When it was removed by a different clinic, the doctor told me it had been imbedded in my muscle. I feel a lot better now that it’s been out for two years. I lost the weight I had gained. (now my body looks different from the stretched skin ). Still dealing with a slight hormone imbalance, complications from fatty liver and osteoporosis. Most upset about how much they pushed it on me & lied when I asked if it would cause weight gain and other health issues.They want $, so do your own research"
0.0,"Absolutely horrendous, have had the implant in for over a year now and I’m finally able to get it removed this week, trying to get the doctors surgery to remove it has been a task, even tho for the past year I’ve had constant bleeding and spotting which is now taking it’s toll I feel drained and tired my moods are all over the place which they have never been, I was put on the pill along side the implant to see if the bleeding would stop which it didn’t it just made me feel worse headaches, spots, bloating. I wouldn’t recommend the implant to anyone it’s been more hassle than it’s worth"
0.0,I used nexplanon for 6 years I first got the implant in 2016 I had it for three years everything was fine I really enjoyed it the first time. I got my second implant in 2019 and also had it for three years the first two years were pretty normal all though I started getting my period the second year every couple months which was nothing to crazy but the third year was a complete disaster I had my period for a whole entire year if I was lucky every 4-5 months I'd get a 3 day break. Having my period everyday made my vagina smell so bad I will never use nexplanon ever again. It was a terrible experience the second time of me using it and definitely wouldn't recommend it to any woman unless you can handle your vagina smelling foul and having your period every single day none stop. The only good thing is you will not get pregnant.
1.0,"I had been on this for 2 years and didn't have a single period. That was nice. And the fact that I didn't get pregnant was nice too. BUT, it caused me to be one very depressed, emotional, anxious and tired all the time. I was not myself and it nearly ruined my relationship. I went off it when we were ready to try for a baby and It's like my brain switched back to normal and I was ME again. 6 weeks after I had my baby I got it back in and I'm not even kidding you when I say the SECOND day of having it in all of those feelings came back. My brain just switched. I'm getting it taken out and have only had it on for a few days. Everybody has different experiences but if you have a hard time with mental health or don't want to experience such a thing I do not recommend."
0.0,"I had Nexplanon for 5 years from the age of (21-25) I was completely fine. I never had any real issues with it. Then it’s time to replace it with a new one. I got my new one replaced In the month of June 2021 and everything was fine. Now just recently it’s February 2nd and I have been getting angry at little things that I shouldn’t even getting angry at. I’ve been feeling sad daily, depressed mood severe, anxiety, intrusive thoughts at work. I’ve never really thought about death and all of a sudden I’ve been thinking about it out of the blue it’s very scary. I stay up late, I don’t sleep regularly. Then when I am up I want to sleep during the day.  I’m debating on whether I’m going to get an appointment to get it removed because I don’t want to live this way with these thoughts, with these horrible feelings. That is NOT okay. I don’t know if they changed the way these are made now but I never experienced this at all with the last implant that I had."
1.0,"I had Nexplanon inserted when I was about 16 and it worked great for the next 2 years. No crazy side effects except acne and a period that was essentially 1 cycle every 2 months (great right?). But this past year being year 3 on Nexplanon, my periods have been extremely irregular. I have had periods that last anywhere from 2 days to over a month long. Not to mention, multiple in a single month sometimes. Prior to Nexplanon, I never had cramps with a regular 5-day period and am currently experiencing terrible cramps on my period. Although it has worked great at preventing pregnancy for me, the irregularity of my periods coming from a normal period (prior to Nexplanon) is a major downside and annoying."
0.0,"The good news-did not get pregnant with nexplanon in. Insertion and removal intimidated me, but were a lot less scary than I thought. I personally did not experience any weight gain or acne either.  The good parts pretty much stop there. 
Now, for the bad and ugly news - I experienced massive sexual dysfunction while using nexplanon. Forget the insanely low libido, the vaginal dryness wreaked havoc down there. Peeing after sex became unbearably painful, to the point I would avoid sex altogether. When my vag wasn’t dry, I was on my period. Sometimes for days, sometimes a month or longer. At the beginning I experienced the dreaded three month period, which my doctor told me was “normal.” For me, it just wasn’t worth the irregular periods and sexual dysfunction. I’m sure some people respond fine to it but LISTEN TO YOUR BODIES! Don’t make the mistake I did of keeping it for a year if it clearly causes issues, your body will thank you."
0.0,"I have always struggled with depression. A few weeks after insertion, my mental health tanked. For the next 4 years I suffered with binge eating and weight gain, severe depression, suicidal thoughts and actions. I tried 10+ antidepressants, anti anxiety, antipsychotics meds, etc. Nothing helped. I began to give up on life. Realized the only thing I hadn't changed, was my birth control. I decided to remove it, 3-4 weeks after removal, I felt like a new person. I felt like the person I hadn't seen in years. Lost 25 lbs in the first few months. Full of energy and motivation. Great for preventing pregnancy, though."
